Simulationtime,DTB_1B2,DTB_1B1,DTB_2B1,DTB_3B1,DTB_3B2,DTB_B4,DTB_IP_FI,PP_PAV,PP_1B1,PP_1B2,PP_2B1,PP_3B1,PP_B1,PP_B2,PP_IBFI,FM__PAV,FM__2B1,FM__2B2,FM_3B1,FM_3B2,FM_3B3,FM_4B1,FM_1PFI,ST_PAV,ST_B2,ST_B3,ST_B4,ST_1B1,ST_1B2,ST_2B1,ST_2B2,DTB_1M1,DTB_2M1,DTB_2M2,DTB_3M1,DTB_3M2,PP_K1,PP_1M1,PP_1M2,PP_2M1,PP_3M1,PP_4M1,PP_1PNPO,FM_1M1,FM_2M1,FM_2M2,FM_3M1,FM_3M2,FM_3M3,FM_4M1,FM_IPNFO,ST_K1,ST_1M1,ST_2M1,ST_3M1,ST_1PNFO,DTT,PPT,MPT,Ctime,ST_T,Ctime_OUT_AVG,Label
32.6,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0.056,0,0.090,Normal
32.64,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0.056,0,0.099,Normal
32.68,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0.057,0,0.107,Normal
32.72,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0.088,0,0.110,Normal
32.76,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0.088,0,0.107,Normal
32.8,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0.091,0,0.104,Normal
32.84,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0.091,0,0.100,Normal
32.88,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0.091,0,0.104,Normal
32.92,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0.142,0,0.107,Normal
32.96,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0.142,0,0.105,Normal
33,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0.142,0,0.098,Normal
33.04,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0.142,0,0.090,Normal
33.08,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0.080,0,0.082,Normal
33.12,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0.058,0,0.079,Normal
